dim,norm_scales,norm_los,clipped_scales,clipped_los
4,2.223903327758403,1.0109239897568716,2.223903327758403,1.0104457604082395
5,1.7822744248408353,1.0166969809321447,1.7822744248408353,1.0166955649229639
6,1.550513294885873,1.021733845870089,1.550513294885873,1.0217338398005449
7,1.4050594002455041,1.0261181571311506,1.4050594002455041,1.0261190155080662
8,1.3039516738034005,1.0299688470064507,1.3039516738034005,1.0299699968493043
9,1.2288631957942806,1.0333853745352926,1.2288631957942806,1.033386570686565
10,1.1704562191085688,1.0364457724511393,1.1704562191085688,1.03644462472539
11,1.1234459348911587,1.0392106551550013,1.1234459348911587,1.039209812750897
12,1.0846033042415426,1.0417273854120397,1.0846033042415426,1.041726751776503
13,1.0518367061162248,1.0440333814475136,1.0518367061162248,1.0440328946279607
14,1.0237274129821674,1.0461585674356455,1.0237274129821674,1.0461581869872894
15,0.9992765597153935,1.0481271702764183,0.9992765597153935,1.0481268679792668
16,0.9777588896269254,1.0499590285191125,0.9777588896269254,1.0499587853092553
17,0.9586340024621258,1.0516705642216053,0.9586340024621258,1.051670365695567
18,0.9414902604911977,1.053275502560722,0.9414902604911977,1.0532753393907943
19,0.9260080899159369,1.0547854202238143,0.9260080899159369,1.0547852847842303
20,0.9119352478676533,1.0562101620595012,0.9119352478676533,1.0562100480480092
21,0.8990697178467482,1.0575581615750846,0.8990697178467482,1.0575580651680188
22,0.8872476098441368,1.058836695116013,0.8872476098441368,1.0588366126525501
23,0.8763344276191289,1.06005207952365,0.8763344276191289,1.0600520092906818
24,0.8662186526205561,1.0612098326485517,0.8662186526205561,1.0612097717614044
25,0.8568069539315705,1.0623147978197653,0.8568069539315705,1.0623147449538553
26,0.8480205601658417,1.0633712490851677,0.8480205601658417,1.0633712029561975
27,0.8397924752651204,1.064382976270081,0.8397924752651204,1.0643829357490247
28,0.832065316298034,1.0653533531727584,0.832065316298034,1.0653533176888448
29,0.8247896159082317,1.0662853958196825,0.8247896159082317,1.0662853646300288
30,0.8179224761640256,1.0671818114101177,0.8179224761640256,1.0671817831740926
31,0.8114264911869948,1.0680450357337241,0.8114264911869948,1.0680450106842616
32,0.8052688775203399,1.0688772713700463,0.8052688775203399,1.0688772491353273
33,0.7994207666179866,1.0696805141446086,0.7994207666179866,1.0696804941495142
34,0.7938566249924951,1.0704565779565405,0.7938566249924951,1.070456559930427
35,0.7885537757274778,1.0712071153703442,0.7885537757274778,1.0712070992975598
36,0.7834920011050222,1.0719336377648565,0.7834920011050222,1.0719336227997351
37,0.7786532106179779,1.0726375285098209,0.7786532106179779,1.072637515196218
38,0.7740211620481326,1.0733200591429326,0.7740211620481326,1.07332004701982
39,0.7695812258890228,1.0739823981582293,0.7695812258890228,1.0739823873931724
40,0.7653201853869808,1.0746256247589685,0.7653201853869808,1.0746256149253384
41,0.7612260660180223,1.075250735515065,0.7612260660180223,1.0752507262815354
42,0.757287989422088,1.0758586522794265,0.757287989422088,1.0758586436993056
43,0.7534960477614948,1.0764502310149706,0.7534960477614948,1.076450223336964
44,0.7498411952176572,1.0770262672291275,0.7498411952176572,1.0770262599588307
